Número,prioridade_label,Produto,Categoria,Grupo designado,hora_abertura,dia_semana,data_abertura,kpi_violado,risco_predito
INC8654075,P2,lrel,cat85,Team09,18,Quarta,2025-12-31,0,0.14563553
INC8653993,P2,lhvp,cat73,Team14,14,Quarta,2025-12-31,0,0.06407197
INC8653923,P2,lhco,cat71,Team14,11,Quarta,2025-12-31,0,0.015438383
INC8653899,P2,lssl,cat102,Team14,11,Quarta,2025-12-31,0,0.14477852
INC8653798,P2,lrev,cat97,Team14,7,Quarta,2025-12-31,0,0.00077455875
INC8653655,P2,lsin,cat77,Team14,6,Quarta,2025-12-31,0,0.048005324
INC8653652,P2,lsin,cat77,Team14,6,Quarta,2025-12-31,0,0.048005324
INC8653597,P3,lssl,cat102,Team14,4,Quarta,2025-12-31,0,0.0025744215
INC8653593,P2,lsin,cat141,Team03,4,Quarta,2025-12-31,1,0.0065621254
INC8653415,P2,lhvp,cat73,Team14,3,Quarta,2025-12-31,0,0.029571101
INC8653205,P2,lsin,cat77,Team09,22,Terça,2025-12-30,0,0.029889163
INC8652876,P3,lrev,cat94,Team05,14,Terça,2025-12-30,0,0.0057103806
INC8652843,P2,lsin,cat77,Team09,13,Terça,2025-12-30,0,0.47532016
INC8652841,P2,lrev,cat94,Team14,12,Terça,2025-12-30,0,0.0017604068
INC8652831,P3,lrdo,cat112,Team11,12,Terça,2025-12-30,0,0.19188072
INC8652819,P3,lrdo,cat112,Team11,12,Terça,2025-12-30,0,0.19188072
INC8652807,P3,lrdo,cat112,Team11,12,Terça,2025-12-30,0,0.19188072
INC8652702,P3,lhvp,cat73,Team14,9,Terça,2025-12-30,0,0.017733641
INC8652577,P2,lrev,cat36,Team09,6,Terça,2025-12-30,0,0.066414036
INC8652128,P2,lhco,cat71,Team14,0,Terça,2025-12-30,0,0.020048983
INC8652099,P2,lsin,cat141,Team14,23,Segunda,2025-12-29,0,0.0059265364
INC8651991,P2,lsin,cat77,Team14,21,Segunda,2025-12-29,0,0.0044287187
INC8651975,P2,lsin,cat77,Team09,21,Segunda,2025-12-29,0,0.090815775
INC8651911,P2,lhco,cat71,Team14,19,Segunda,2025-12-29,0,0.00055228284
INC8651840,P2,lvps,cat74,Team14,17,Segunda,2025-12-29,0,0.0076174065
INC8651829,P2,lsin,cat77,Team09,17,Segunda,2025-12-29,0,0.51198274
INC8651798,P3,lhco,cat85,Team11,17,Segunda,2025-12-29,0,0.072049215
INC8651755,P2,lclo,cat66,Team03,16,Segunda,2025-12-29,0,0.0050551104
INC8651727,P3,lhco,cat71,Team14,15,Segunda,2025-12-29,0,0.009793161
INC8651619,P2,lhco,cat71,Team14,13,Segunda,2025-12-29,0,0.0031891782
INC8651604,P2,lhco,cat71,Team14,13,Segunda,2025-12-29,0,0.0031891782
INC8651458,P2,lhco,cat71,Team14,10,Segunda,2025-12-29,0,0.015897691
INC8651437,P3,lrdo,cat112,Team11,10,Segunda,2025-12-29,0,0.2847635
INC8651433,P3,lhco,cat110,Team11,10,Segunda,2025-12-29,0,0.054457244
INC8651421,P2,lhco,cat71,Team14,9,Segunda,2025-12-29,0,0.0127718495
INC8651419,P2,lhco,cat71,Team14,9,Segunda,2025-12-29,0,0.0127718495
INC8651400,P2,lhvp,cat73,Team14,9,Segunda,2025-12-29,0,0.04590671
INC8651395,P2,lhco,cat71,Team14,9,Segunda,2025-12-29,0,0.0127718495
INC8651381,P2,lhco,cat71,Team14,8,Segunda,2025-12-29,0,0.015451014
INC8651368,P3,lrel,cat123,Team11,8,Segunda,2025-12-29,0,0.079504944
INC8651365,P2,lhco,cat71,Team14,8,Segunda,2025-12-29,0,0.015451014
INC8651363,P3,lvps,cat74,Team14,8,Segunda,2025-12-29,0,0.019903945
INC8651067,P2,lrev,cat36,Team14,3,Segunda,2025-12-29,0,0.0029688482
INC8651006,P2,lhco,cat71,Team14,2,Segunda,2025-12-29,0,0.008885723
INC8651000,P3,lhco,cat85,Team14,2,Segunda,2025-12-29,0,0.52680236
INC8650994,P2,lhvp,cat73,Team14,2,Segunda,2025-12-29,0,0.10234971
INC8650820,P2,lhco,cat18,Team02,22,Domingo,2025-12-28,0,0.0018959463
INC8650787,P2,lhco,cat71,Team14,22,Domingo,2025-12-28,0,0.0003983982
INC8650764,P2,lclo,cat63,Team03,21,Domingo,2025-12-28,0,0.015699405
INC8650608,P3,lhco,cat71,Team14,15,Domingo,2025-12-28,0,0.0025335564
INC8650605,P3,lhco,cat137,Team14,15,Domingo,2025-12-28,0,0.01865707
INC8650588,P2,lhco,cat71,Team09,14,Domingo,2025-12-28,0,0.55318
INC8650576,P3,lhco,cat18,Team14,14,Domingo,2025-12-28,0,0.0023960776
INC8650570,P2,lhco,cat71,Team14,14,Domingo,2025-12-28,0,0.0038630995
INC8650508,P3,lvps,cat74,Team14,10,Domingo,2025-12-28,0,0.003645455
INC8650448,P3,lhco,cat71,Team09,8,Domingo,2025-12-28,0,0.43522528
INC8650100,P2,lrev,cat35,Team09,3,Domingo,2025-12-28,0,0.18433811
INC8649994,P2,lhvp,cat73,Team14,1,Domingo,2025-12-28,0,0.0033317998
INC8649800,P3,lhco,cat85,Team11,22,Sábado,2025-12-27,1,0.9500486
INC8649768,P3,lrdo,cat112,Team11,21,Sábado,2025-12-27,1,0.976492
INC8649741,P2,lrev,cat35,Team14,21,Sábado,2025-12-27,0,0.005796247
INC8649708,P2,lrev,cat97,Team14,20,Sábado,2025-12-27,0,0.000513834
INC8649528,P3,lhco,cat71,Team14,14,Sábado,2025-12-27,0,0.007942448
INC8649493,P3,lhvp,cat19,Team14,13,Sábado,2025-12-27,0,0.0015928554
INC8649487,P3,lhvp,cat87,Team14,13,Sábado,2025-12-27,0,0.0010660951
INC8649480,P2,lhco,cat71,Team14,13,Sábado,2025-12-27,0,0.0031967224
INC8649430,P3,lvps,cat74,Team14,11,Sábado,2025-12-27,0,0.010510826
INC8649415,P2,lhco,cat71,Team14,11,Sábado,2025-12-27,0,0.00778792
INC8649414,P3,lrel,cat103,Team11,11,Sábado,2025-12-27,0,0.3484167
INC8649371,P2,lhvp,cat73,Team14,9,Sábado,2025-12-27,0,0.005316823
INC8649349,P2,lsin,cat77,Team14,9,Sábado,2025-12-27,0,0.016369201
INC8649294,P3,lvps,cat85,Team14,7,Sábado,2025-12-27,0,0.007955335
INC8649176,P2,lrev,cat97,Team09,5,Sábado,2025-12-27,0,0.023346528
INC8648977,P2,lrev,cat35,Team09,3,Sábado,2025-12-27,0,0.35078037
INC8648891,P2,lhco,cat137,Team03,3,Sábado,2025-12-27,0,0.09153395
INC8648801,P2,lhco,cat71,Team14,1,Sábado,2025-12-27,0,0.003869869
INC8648479,P2,lsin,cat141,Team03,19,Sexta,2025-12-26,0,0.0139733525
INC8648471,P2,lrev,cat97,Team14,18,Sexta,2025-12-26,0,0.00039777585
INC8648466,P3,lhco,cat71,Team14,18,Sexta,2025-12-26,0,0.019825652
INC8648455,P3,lcem,cat91,Team11,18,Sexta,2025-12-26,0,0.18526003
INC8648394,P3,lhco,cat71,Team14,17,Sexta,2025-12-26,0,0.015826046
INC8648388,P3,lsin,cat77,Team14,17,Sexta,2025-12-26,0,0.015409938
INC8648312,P2,lhvp,cat73,Team14,15,Sexta,2025-12-26,0,0.0053772023
INC8648226,P3,lcem,cat76,Team05,14,Sexta,2025-12-26,0,0.029158382
INC8648195,P3,lhvp,cat73,Team14,14,Sexta,2025-12-26,0,0.018621027
INC8648174,P2,lhco,cat71,Team14,13,Sexta,2025-12-26,0,0.00200297
INC8648147,P3,lhco,cat31,Team11,12,Sexta,2025-12-26,0,0.040595572
INC8648127,P3,lhco,cat31,Team11,11,Sexta,2025-12-26,0,0.08929826
INC8648101,P3,lsaa,cat126,Team11,10,Sexta,2025-12-26,0,0.45531693
INC8648092,P3,lhco,cat71,Team14,10,Sexta,2025-12-26,0,0.007031784
INC8648090,P3,lcsp,cat85,Team14,10,Sexta,2025-12-26,0,0.0033487044
INC8648078,P2,lsin,cat77,Team14,10,Sexta,2025-12-26,0,0.037895896
INC8648066,P3,lhco,cat85,Team11,9,Sexta,2025-12-26,0,0.11932583
INC8648065,P2,lrev,cat97,Team14,9,Sexta,2025-12-26,0,0.0012650737
INC8648064,P3,lsin,cat29,Team11,9,Sexta,2025-12-26,0,0.08808871
INC8648055,P3,lrdo,cat31,Team11,9,Sexta,2025-12-26,0,0.41385046
INC8648052,P3,lrev,cat94,Team14,9,Sexta,2025-12-26,0,0.0016178349
INC8648037,P3,lhco,cat71,Team14,8,Sexta,2025-12-26,0,0.0055977474
INC8648028,P3,lrdo,cat31,Team11,8,Sexta,2025-12-26,0,0.41246924
INC8647943,P2,lhco,cat71,Team14,5,Sexta,2025-12-26,0,0.0018268384
INC8647766,P2,lhco,cat18,Team02,3,Sexta,2025-12-26,0,0.008604713
INC8647687,P3,lhco,cat85,Team14,0,Sexta,2025-12-26,0,0.084832735
INC8647686,P3,lhco,cat85,Team14,0,Sexta,2025-12-26,0,0.084832735
INC8647685,P3,lhco,cat85,Team14,0,Sexta,2025-12-26,0,0.084832735
INC8647684,P3,lhco,cat85,Team14,0,Sexta,2025-12-26,0,0.084832735
INC8647636,P3,lhco,cat85,Team11,0,Sexta,2025-12-26,0,0.26877937
INC8647625,P2,lcsp,cat137,Team03,0,Sexta,2025-12-26,0,0.0015178287
INC8647597,P2,lhco,cat71,Team14,23,Quinta,2025-12-25,0,0.0021051762
INC8647594,P2,lhco,cat71,Team14,23,Quinta,2025-12-25,0,0.0021051762
INC8647532,P3,lhco,cat71,Team14,22,Quinta,2025-12-25,0,0.011937296
INC8647521,P2,lhvp,cat73,Team14,22,Quinta,2025-12-25,0,0.0016062442
INC8647505,P3,lrev,cat99,Team14,21,Quinta,2025-12-25,0,0.0016421018
INC8647475,P3,lhco,cat71,Team14,20,Quinta,2025-12-25,0,0.008912281
INC8647463,P3,lhco,cat71,Team14,19,Quinta,2025-12-25,0,0.007870929
INC8647441,P3,lhco,cat71,Team14,19,Quinta,2025-12-25,0,0.007870929
INC8647425,P2,lcem,cat76,Team05,18,Quinta,2025-12-25,0,0.0686464
INC8647408,P3,lsin,cat77,Team02,17,Quinta,2025-12-25,0,0.21598694
INC8647359,P3,lhco,cat71,Team14,15,Quinta,2025-12-25,0,0.005779093
INC8647266,P3,lsaa,cat83,Team11,11,Quinta,2025-12-25,0,0.10690572
INC8647247,P3,lcem,cat76,Team05,10,Quinta,2025-12-25,0,0.083495565
INC8647226,P3,lrev,cat96,Team14,9,Quinta,2025-12-25,0,0.0004923982
INC8647175,P3,lhco,cat71,Team14,6,Quinta,2025-12-25,0,0.00405234
INC8647168,P3,lsin,cat15,Team14,5,Quinta,2025-12-25,0,0.0022950156
INC8646939,P2,lrev,cat36,Team14,3,Quinta,2025-12-25,0,0.0024574343
INC8646934,P3,lhco,cat71,Team09,3,Quinta,2025-12-25,0,0.8957316
INC8646904,P3,lsin,cat141,Team14,1,Quinta,2025-12-25,0,0.0007046171
INC8646876,P2,lcem,cat76,Team05,0,Quinta,2025-12-25,0,0.008806508
INC8646857,P3,lhco,cat71,Team14,0,Quinta,2025-12-25,0,0.17533031
INC8646829,P3,lsin,cat77,Team10,0,Quinta,2025-12-25,0,0.027339945
