data_abertura,prioridade_label,incidentes
2023-01-02,P3,1
2023-01-09,P3,1
2023-01-11,P3,2
2023-01-16,P3,1
2023-01-17,P3,2
2023-01-23,P3,3
2023-01-30,P3,2
2023-02-02,P3,1
2023-02-05,P3,1
2023-02-06,P3,1
2023-02-08,P3,1
2023-02-09,P3,1
2023-02-14,P3,1
2023-02-27,P3,1
2023-03-07,P3,1
2023-03-10,P3,1
2023-03-13,P3,1
2023-03-15,P3,1
2023-03-16,P3,1
2023-03-17,P3,1
2023-03-21,P3,1
2023-03-31,P3,1
2023-04-03,P3,1
2023-04-10,P3,1
2023-04-19,P3,1
2023-04-20,P3,1
2023-04-26,P3,1
2023-04-27,P3,1
2023-05-05,P3,1
2023-05-06,P3,1
2023-05-23,P3,1
2023-05-25,P3,1
2023-05-30,P3,1
2023-06-12,P3,1
2023-06-22,P3,1
2023-07-03,P3,1
2023-07-11,P3,2
2023-07-26,P3,1
2023-07-27,P3,1
2023-08-23,P3,1
2023-08-31,P3,2
2023-09-05,P3,2
2023-09-14,P3,2
2023-09-18,P3,1
2023-09-24,P3,1
2023-09-26,P3,2
2023-09-27,P3,1
2023-09-28,P3,2
2023-09-29,P3,2
2023-10-02,P3,1
2023-10-03,P3,1
2023-10-05,P3,2
2023-10-09,P3,1
2023-10-10,P3,1
2023-10-11,P3,1
2023-10-18,P3,1
2023-10-23,P3,1
2023-10-24,P3,2
2023-10-25,P3,1
2023-10-27,P3,1
2023-11-02,P3,1
2023-11-05,P3,1
2023-11-06,P3,1
2023-11-07,P3,1
2023-11-12,P3,3
2023-11-13,P3,1
2023-11-15,P3,1
2023-11-17,P3,1
2023-11-28,P3,1
2023-11-29,P3,1
2023-12-04,P3,1
2023-12-05,P3,1
2023-12-14,P3,1
2023-12-30,P3,1
2024-01-08,P3,1
2024-01-18,P3,1
2024-01-22,P3,1
2024-01-24,P3,1
2024-01-30,P3,1
2024-01-31,P3,1
2024-02-01,P3,3
2024-02-16,P3,1
2024-02-20,P3,1
2024-02-21,P3,1
2024-02-24,P3,1
2024-02-27,P3,1
2024-02-28,P3,1
2024-03-02,P3,2
2024-03-04,P3,1
2024-03-05,P3,1
2024-03-06,P3,1
2024-03-07,P3,1
2024-03-08,P3,1
2024-03-09,P3,1
2024-03-10,P3,1
2024-03-11,P3,1
2024-03-12,P3,2
2024-03-13,P3,1
2024-03-15,P3,2
2024-03-19,P3,2
2024-03-22,P3,3
2024-03-23,P3,1
2024-04-02,P3,2
2024-04-03,P3,1
2024-04-06,P3,1
2024-04-10,P3,1
2024-04-13,P3,1
2024-04-15,P3,4
2024-04-16,P3,1
2024-04-18,P3,1
2024-04-20,P3,2
2024-04-23,P3,2
2024-04-24,P3,1
2024-04-25,P3,1
2024-04-27,P3,1
2024-05-01,P3,1
2024-05-08,P3,1
2024-05-09,P3,1
2024-05-10,P3,1
2024-05-13,P3,1
2024-05-15,P3,1
2024-05-16,P3,2
2024-05-17,P3,1
2024-05-22,P3,1
2024-05-24,P3,1
2024-05-28,P3,1
2024-05-29,P3,1
2024-05-31,P3,1
2024-06-06,P3,1
2024-06-08,P3,1
2024-06-10,P3,1
2024-06-12,P3,2
2024-06-13,P3,1
2024-06-14,P3,1
2024-06-15,P3,1
2024-06-18,P3,1
2024-06-24,P3,1
2024-06-25,P3,1
2024-06-27,P3,3
2024-07-02,P3,1
2024-07-04,P3,1
2024-07-05,P3,2
